Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Outlet_Age
20.25,1,0.018801549,6,222.1772,6,2,1,1,5559.43,15
8.695,0,0.119721451,9,95.5094,9,1,0,1,1237.7222,20
7.27,0,0.071222087,14,113.5518,7,1,1,1,569.259,17
12.6,1,0.060371962,2,174.0712,5,1,2,3,3866.9664,34
12.85,0,0.033287541,6,198.4768,7,1,1,1,1379.5376,17
7.075,0,0.05858462,4,142.7128,3,1,2,2,1869.5664,10
12.6,1,0.11679292,0,196.211,5,1,2,3,5499.508,34
8.195,0,0.031452265,0,94.3462,9,1,0,1,925.462,20
7.09,0,0.00721395,0,47.9034,6,2,1,1,583.2408,15
6.095,0,0.081196619,11,141.4154,8,2,0,1,1418.154,22
19.35,1,0.049916364,6,80.2644,2,1,1,1,942.7728,12
6.15,0,0.04627095,0,99.3384,8,2,0,1,2364.9216,22
12.6,1,0.02747716,3,87.9856,5,1,2,3,3251.7672,34
12.6,1,0.104704537,6,125.2678,4,2,0,0,254.3356,34
17.7,0,0.012540003,9,167.0474,6,2,1,1,5895.659,15
17.85,0,0.147023834,1,93.7436,3,1,2,2,1134.5232,10
9.395,0,0.159657596,14,224.972,7,1,1,1,7696.648,17
15.75,0,0.141398626,7,250.5382,2,1,1,1,2775.7202,12
7.475,0,0.148821808,6,241.2854,7,1,1,1,5317.0788,17
7.075,0,0.0,5,98.0068,3,1,2,2,874.8612,10
6.445,0,0.029691762,0,92.6436,8,2,0,1,1039.9796,22
19.1,0,0.096715523,6,235.0958,6,2,1,1,3038.0454,15
20.25,1,0.014790559,4,193.6162,6,2,1,1,3848.324,15
15.0,1,0.054378253,3,59.1904,8,2,0,1,527.3136,22
6.67,1,0.123428594,13,89.1514,8,2,0,1,2390.8878,22
12.6,1,0.029943463,3,60.222,5,1,2,3,1677.816,34
16.7,1,0.052368061,5,112.7176,1,0,2,1,801.6232,32
7.07,0,0.093861144,13,115.5834,7,1,1,1,1267.0174,17
6.48,0,0.033968647,13,148.0076,7,1,1,1,886.8456,17
19.0,1,0.173154079,6,228.272,0,1,2,0,452.744,21
13.35,0,0.139735226,5,147.5392,7,1,1,1,3877.6192,17
12.6,0,0.043351896,6,146.6418,5,1,2,3,4414.254,34
12.6,0,0.042086652,7,122.4388,5,1,2,3,5448.9072,34
9.695,1,0.12848269,0,223.9404,9,1,0,1,4950.8888,20
15.0,0,0.049357077,14,62.6168,2,1,1,1,958.752,12
11.15,1,0.008326735,4,149.9708,2,1,1,1,1956.1204,12
20.85,0,0.021362955,6,103.2306,9,1,0,1,2404.2038,20
9.8,0,0.151420934,11,194.3478,0,1,2,0,387.4956,21
16.35,0,0.032511818,10,165.0842,1,0,2,1,994.7052,32
9.6,1,0.022323658,1,101.299,7,1,1,1,1754.383,17
12.6,0,0.019292355,8,129.9994,5,1,2,3,3340.9844,34
13.35,0,0.048124443,1,216.7166,7,1,1,1,3918.8988,17
20.7,0,0.09261307,4,76.367,1,0,2,1,306.268,32
12.6,0,0.094697274,0,158.4604,5,1,2,3,4278.4308,34
16.2,0,0.035984104,6,260.6278,7,1,1,1,4425.5726,17
12.6,1,0.056596985,13,230.9984,5,1,2,3,9267.936,34
12.6,0,0.2047,5,76.867,4,2,0,0,229.701,34
12.6,1,0.020618324,2,129.3994,5,1,2,3,2055.9904,34
5.5,0,0.04709821,11,101.3016,8,2,0,1,3339.6528,22
15.1,1,0.087584126,6,221.7456,7,1,1,1,6410.3224,17
15.7,1,0.038078899,5,122.9046,2,1,1,1,1992.0736,12
7.895,1,0.095102092,2,104.4332,2,1,1,1,2870.9296,12
12.6,1,0.011953902,3,164.5184,5,1,2,3,2807.0128,34
17.35,1,0.062799379,0,88.183,1,0,2,1,539.298,32
7.285,0,0.031125709,9,174.3054,1,0,2,1,4377.635,32
20.25,0,0.026005891,9,180.9976,7,1,1,1,2716.464,17
12.6,0,0.09246392,13,190.9504,4,2,0,0,383.5008,34
15.85,0,0.107765165,14,59.5904,9,1,0,1,703.0848,20
6.17,0,0.010647477,10,66.3826,9,1,0,1,1937.478,20
19.5,0,0.015749341,9,182.2608,9,1,0,1,3307.6944,20
19.2,0,0.077628053,9,197.611,9,1,0,1,3142.576,20
16.7,0,0.0,3,181.2292,3,1,2,2,2554.0088,10
20.85,1,0.056695731,1,104.0648,3,1,2,2,1869.5664,10
14.5,1,0.063993068,1,260.4594,7,1,1,1,5494.8474,17
11.395,1,0.069529262,10,233.1616,1,0,2,1,6093.4016,32
7.97,0,0.034452949,14,174.0422,8,2,0,1,2586.633,22
7.71,1,0.06670068,13,55.2956,9,1,0,1,1255.6988,20
19.25,1,0.034699737,3,141.7496,8,2,0,1,4093.3384,22
7.075,0,0.058346939,4,142.2128,8,2,0,1,3163.8816,22
12.6,1,0.065203103,10,166.0816,5,1,2,3,5033.448,34
11.6,1,0.078929571,5,79.9276,8,2,0,1,1137.1864,22
12.6,0,0.182514881,6,98.77,5,1,2,3,2696.49,34
12.1,0,0.016895293,7,178.566,3,1,2,2,898.83,10
10.0,0,0.073379745,8,118.244,8,2,0,1,2756.412,22
14.35,0,0.08075758,0,81.896,7,1,1,1,878.856,17
10.395,0,0.112271498,13,58.222,9,1,0,1,659.142,20
12.6,0,0.153741385,4,182.6292,4,2,0,0,182.4292,34
8.1,0,0.127929521,6,211.4902,1,0,2,1,3610.6334,32
8.05,1,0.07838564,6,256.4646,6,2,1,1,5153.292,15
9.195,1,0.078502143,10,108.7596,2,1,1,1,2588.6304,12
20.7,1,0.047684831,4,212.5876,3,1,2,2,1286.3256,10
15.7,1,0.123159656,6,110.1544,2,1,1,1,1230.3984,12
12.6,1,0.0,6,60.2194,5,1,2,3,1733.7432,34
12.6,0,0.053392944,8,193.8162,4,2,0,0,384.8324,34
16.5,0,0.036715907,9,180.0318,7,1,1,1,3969.4996,17
9.0,0,0.065236932,13,176.437,6,2,1,1,7763.228,15
6.785,1,0.041947547,10,41.2112,1,0,2,1,809.6128,32
19.5,0,0.082888496,3,178.6002,3,1,2,2,1253.7014,10
7.575,0,0.055390121,4,195.2768,8,2,0,1,5715.2272,22
18.2,1,0.012194556,6,57.7904,1,0,2,1,1464.76,32
16.75,0,0.060495243,4,169.8106,1,0,2,1,3251.1014,32
7.47,1,0.0,5,214.3218,6,2,1,1,4274.436,15
12.6,1,0.014753811,6,231.7958,5,1,2,3,5375.0034,34
12.6,0,0.160707489,6,38.019,5,1,2,3,1318.284,34
13.85,1,0.085622362,10,119.4124,3,1,2,2,2251.7356,10
6.635,1,0.046350909,5,37.4506,2,1,1,1,1176.4686,12
6.11,1,0.102920886,6,130.4968,8,2,0,1,3523.4136,22
15.25,0,0.026604781,13,86.2198,6,2,1,1,610.5386,15
15.85,0,0.0,3,96.4094,6,2,1,1,1237.7222,15
15.2,0,0.031860325,13,235.1248,0,1,2,0,474.0496,21
12.6,1,0.0,13,52.6666,5,1,2,3,717.7324,34
20.75,0,0.021250002,14,150.5024,8,2,0,1,2580.6408,22
10.195,0,0.159936948,5,143.2154,8,2,0,1,2552.6772,22
7.605,0,0.129503146,6,164.021,7,1,1,1,3914.904,17
18.0,1,0.142688846,6,88.5514,8,2,0,1,796.9626,22
12.6,0,0.179484411,4,228.9352,4,2,0,0,916.1408,34
18.35,0,0.089163056,9,191.3504,7,1,1,1,3259.7568,17
6.59,0,0.105761491,6,84.8908,9,1,0,1,1677.816,20
13.8,1,0.056960814,13,230.0984,9,1,0,1,3707.1744,20
21.2,1,0.00704098,15,173.5738,8,2,0,1,2954.1546,22
10.5,1,0.011026594,13,166.4842,3,1,2,2,2652.5472,10
8.97,0,0.093203257,9,52.7956,7,1,1,1,1037.3164,17
12.6,0,0.026916794,11,50.9666,5,1,2,3,717.7324,34
10.6,0,0.035264298,8,86.1224,7,1,1,1,426.112,17
13.65,0,0.015908424,1,231.1668,6,2,1,1,6911.004,15
19.0,0,0.017719277,8,211.0244,8,2,0,1,3811.0392,22
12.6,1,0.035334201,13,115.3518,5,1,2,3,2277.036,34
